scraped_at,source,property_type,district_name,listing_count,total_market_value_czk,average_asking_price_czk,median_asking_price_czk,median_price_per_m2_czk,average_area_m2
2026-04-23 13:31:01.178533,sreality,byty,Praha-Dubeč,1,8599000.0,8599000.0,8599000.0,159240.74,54.0
2026-04-23 13:31:01.178533,sreality,byty,Praha-Štěrboholy,1,7126034.0,7126034.0,7126034.0,158356.31,45.0
2026-04-23 13:31:01.178533,sreality,byty,Prosek,35,308559220.0,8815977.714285715,8690000.0,138596.49,63.857142857142854
2026-04-23 13:31:01.178533,sreality,byty,Písnice,2,17365000.0,8682500.0,8682500.0,177306.035,56.5
2026-04-23 13:31:01.178533,sreality,byty,Radlice,20,332935540.0,16646777.0,14250000.0,187620.41,89.05
2026-04-23 13:31:01.178533,sreality,byty,Radotín,25,356194757.0,14247790.28,11875200.0,161354.17,95.84
2026-04-23 13:31:01.178533,sreality,byty,Ruzyně,52,536537295.0,10318024.903846154,9495000.0,166129.43,65.42307692307692
2026-04-23 13:31:01.178533,sreality,byty,Satalice,6,46291391.0,7715231.833333333,6525387.0,174507.78,43.5
2026-04-23 13:31:01.178533,sreality,byty,Sedlec,1,10800000.0,10800000.0,10800000.0,97297.3,111.0
2026-04-23 13:31:01.178533,sreality,byty,Smíchov,320,4878879698.0,15537833.43312102,12360163.5,190147.35,84.796875
2026-04-23 13:31:01.178533,sreality,byty,Staré Město,59,1013592500.0,21565797.872340426,20043000.0,234673.61,110.8135593220339
2026-04-23 13:31:01.178533,sreality,byty,Stodůlky,118,1153801199.0,10301796.419642856,9162500.0,145346.745,80.22881355932203
2026-04-23 13:31:01.178533,sreality,byty,Strašnice,77,750636000.0,10143729.72972973,8997000.0,159076.67,65.98701298701299
2026-04-23 13:31:01.178533,sreality,byty,Střešovice,15,206268000.0,13751200.0,11499000.0,160103.63,85.53333333333333
2026-04-23 13:31:01.178533,sreality,byty,Střížkov,43,424044573.0,9861501.697674418,8879661.0,156779.66,65.93023255813954
2026-04-23 13:31:01.178533,sreality,byty,Suchdol,16,279127000.0,17445437.5,17563500.0,153747.58000000002,116.5625
2026-04-23 13:31:01.178533,sreality,byty,Točná,1,3395000.0,3395000.0,3395000.0,188611.11,18.0
2026-04-23 13:31:01.178533,sreality,byty,Troja,25,342196000.0,13687840.0,10000000.0,157980.0,83.6
2026-04-23 13:31:01.178533,sreality,byty,Třebonice,10,62491280.0,6943475.555555556,5500000.0,183928.57,61.8
2026-04-23 13:31:01.178533,sreality,byty,Třeboradice,1,7790000.0,7790000.0,7790000.0,158979.59,49.0
2026-04-23 13:31:01.178533,sreality,byty,Uhříněves,43,402898739.0,9826798.512195121,8990000.0,166458.33,62.06976744186046
2026-04-23 13:31:01.178533,sreality,byty,Veleslavín,13,147845000.0,12320416.666666666,7867500.0,152351.42,91.0
2026-04-23 13:31:01.178533,sreality,byty,Velká Chuchle,3,52599999.0,17533333.0,21300000.0,139215.69,128.66666666666666
2026-04-23 13:31:01.178533,sreality,byty,Vinohrady,184,2881966953.0,16190825.578651685,14099950.0,191674.975,82.16847826086956
2026-04-23 13:31:01.178533,sreality,byty,Vinoř,20,193779852.0,9688992.6,9080000.0,153644.635,68.3
2026-04-23 13:31:01.178533,sreality,byty,Vokovice,26,333098000.0,13323920.0,8990000.0,175294.12,75.03846153846153
2026-04-23 13:31:01.178533,sreality,byty,Vršovice,158,1415500887.0,9762075.08275862,8900000.0,162982.46,61.88607594936709
